location_name,location_type,article_id
Martinez,municipality,732
Martinez,municipality,1085
Martinez,municipality,1113
Martinez,municipality,1383
Martinez,municipality,1417
Martinez,municipality,1430
Martinez,municipality,1543
Martinez,municipality,1616
Martinez,municipality,1745
Martinez,municipality,1746
Martinez,municipality,2041
Martinez,municipality,2043
Martinez,municipality,2044
Martinez,municipality,2045
Martinez,municipality,2065
Martinez,municipality,2220
Martinez,municipality,2222
Martinez,municipality,2261
Martinez,municipality,2368
Martinez,municipality,2385
Martinez,municipality,2398
Martinez,municipality,2452
Martinez,municipality,2679
Martinez,municipality,2748
McDonough,municipality,909
McDonough,municipality,1285
McDonough,municipality,1452
McDonough,municipality,1538
McDonough,municipality,1590
McDonough,municipality,1606
McDonough,municipality,2759
Chamblee,municipality,489
Sugar Hill,municipality,1702
Carrollton,municipality,2778
Union City,municipality,942
Union City,municipality,1264
Union City,municipality,2458
Cartersville,municipality,406
Cartersville,municipality,486
Cartersville,municipality,2752
Perry,municipality,65
Perry,municipality,67
Perry,municipality,189
Perry,municipality,492
Perry,municipality,519
Perry,municipality,543
Perry,municipality,620
Perry,municipality,729
Perry,municipality,735
Perry,municipality,772
Perry,municipality,779
Perry,municipality,780
Perry,municipality,783
Perry,municipality,789
Perry,municipality,891
Perry,municipality,903
Perry,municipality,905
Perry,municipality,1052
Perry,municipality,1067
Perry,municipality,1070
Perry,municipality,1079
Perry,municipality,1110
Perry,municipality,1136
Perry,municipality,1151
Perry,municipality,1197
Perry,municipality,1203
Perry,municipality,1368
Perry,municipality,1394
Perry,municipality,1434
Perry,municipality,1435
Perry,municipality,1440
Perry,municipality,1451
Perry,municipality,1467
Perry,municipality,1488
Perry,municipality,1520
Perry,municipality,1537
Perry,municipality,1676
Perry,municipality,1681
Perry,municipality,1734
Perry,municipality,1773
Perry,municipality,1786
Perry,municipality,1812
Perry,municipality,1904
Perry,municipality,1924
Perry,municipality,1964
Perry,municipality,1997
Perry,municipality,2054
Perry,municipality,2055
Perry,municipality,2056
Perry,municipality,2063
Perry,municipality,2082
Perry,municipality,2089
Perry,municipality,2092
Perry,municipality,2108
Perry,municipality,2120
Perry,municipality,2121
Perry,municipality,2173
Perry,municipality,2174
Perry,municipality,2182
Perry,municipality,2187
Perry,municipality,2228
Perry,municipality,2265
Perry,municipality,2272
Perry,municipality,2273
Perry,municipality,2280
Perry,municipality,2285
Perry,municipality,2297
Perry,municipality,2309
Perry,municipality,2314
Perry,municipality,2381
Perry,municipality,2404
Perry,municipality,2423
Perry,municipality,2485
Perry,municipality,2540
Perry,municipality,2558
Perry,municipality,2568
Perry,municipality,2571
Perry,municipality,2572
Perry,municipality,2598
Perry,municipality,2599
Perry,municipality,2661
Perry,municipality,2735
Perry,municipality,2756
Perry,municipality,2787
Decatur,municipality,7
Decatur,municipality,80
Decatur,municipality,82
Decatur,municipality,83
Decatur,municipality,84
Decatur,municipality,105
Decatur,municipality,108
Decatur,municipality,230
Decatur,municipality,265
Decatur,municipality,300
Decatur,municipality,304
Decatur,municipality,314
Decatur,municipality,366
Decatur,municipality,368
Decatur,municipality,405
Decatur,municipality,408
Decatur,municipality,411
Decatur,municipality,412
Decatur,municipality,419
Decatur,municipality,422
Decatur,municipality,427
Decatur,municipality,428
Decatur,municipality,433
Decatur,municipality,557
Decatur,municipality,569
Decatur,municipality,573
Decatur,municipality,581
Decatur,municipality,591
Decatur,municipality,655
Decatur,municipality,660
Decatur,municipality,687
Decatur,municipality,691
Decatur,municipality,693
Decatur,municipality,694
Decatur,municipality,697
Decatur,municipality,709
Decatur,municipality,723
Decatur,municipality,733
Decatur,municipality,739
Decatur,municipality,808
Decatur,municipality,897
Decatur,municipality,999
Decatur,municipality,1016
Decatur,municipality,1029
Decatur,municipality,1074
Decatur,municipality,1144
Decatur,municipality,1195
Decatur,municipality,1198
Decatur,municipality,1201
Decatur,municipality,1228
Decatur,municipality,1260
Decatur,municipality,1460
Decatur,municipality,1479
Decatur,municipality,1484
Decatur,municipality,1513
Decatur,municipality,1527
Decatur,municipality,1529
Decatur,municipality,1530
Decatur,municipality,1533
Decatur,municipality,1535
Decatur,municipality,1536
Decatur,municipality,1539
Decatur,municipality,1540
Decatur,municipality,1680
Decatur,municipality,1755
Decatur,municipality,1789
Decatur,municipality,1795
Decatur,municipality,1807
Decatur,municipality,1860
Decatur,municipality,1872
Decatur,municipality,1888
Decatur,municipality,1934
Decatur,municipality,1978
Decatur,municipality,1983
Decatur,municipality,1984
Decatur,municipality,1985
Decatur,municipality,1986
Decatur,municipality,1987
Decatur,municipality,1989
Decatur,municipality,1991
Decatur,municipality,1992
Decatur,municipality,1993
Decatur,municipality,1994
Decatur,municipality,1995
Decatur,municipality,1996
Decatur,municipality,1998
Decatur,municipality,1999
Decatur,municipality,2001
Decatur,municipality,2002
Decatur,municipality,2005
Decatur,municipality,2006
Decatur,municipality,2007
Decatur,municipality,2008
Decatur,municipality,2009
Decatur,municipality,2010
Decatur,municipality,2012
Decatur,municipality,2013
Decatur,municipality,2014
Decatur,municipality,2062
Decatur,municipality,2093
Decatur,municipality,2117
Decatur,municipality,2197
Decatur,municipality,2221
Decatur,municipality,2244
Decatur,municipality,2245
Decatur,municipality,2246
Decatur,municipality,2247
Decatur,municipality,2248
Decatur,municipality,2249
Decatur,municipality,2253
Decatur,municipality,2254
Decatur,municipality,2259
Decatur,municipality,2337
Decatur,municipality,2406
Decatur,municipality,2472
Decatur,municipality,2473
Decatur,municipality,2539
Decatur,municipality,2554
Decatur,municipality,2610
Decatur,municipality,2683
Decatur,municipality,2688
Decatur,municipality,2714
Decatur,municipality,2749
Decatur,municipality,2758
Griffin,municipality,102
Griffin,municipality,501
Griffin,municipality,507
Griffin,municipality,510
Griffin,municipality,519
Griffin,municipality,567
Griffin,municipality,610
Griffin,municipality,661
Griffin,municipality,686
Griffin,municipality,717
Griffin,municipality,742
Griffin,municipality,972
Griffin,municipality,983
Griffin,municipality,1085
Griffin,municipality,1095
Griffin,municipality,1133
Griffin,municipality,1246
Griffin,municipality,1438
Griffin,municipality,1450
Griffin,municipality,1585
Griffin,municipality,1586
Griffin,municipality,1634
Griffin,municipality,1636
Griffin,municipality,1653
Griffin,municipality,1656
Griffin,municipality,1658
Griffin,municipality,1661
Griffin,municipality,1662
Griffin,municipality,1663
Griffin,municipality,1664
Griffin,municipality,1665
Griffin,municipality,1666
Griffin,municipality,1924
Griffin,municipality,2046
Griffin,municipality,2052
Griffin,municipality,2059
Griffin,municipality,2069
Griffin,municipality,2082
Griffin,municipality,2092
Griffin,municipality,2108
Griffin,municipality,2186
Griffin,municipality,2223
Griffin,municipality,2240
Griffin,municipality,2252
Griffin,municipality,2263
Griffin,municipality,2296
Griffin,municipality,2364
Griffin,municipality,2391
Griffin,municipality,2517
Griffin,municipality,2526
Griffin,municipality,2770
Griffin,municipality,2790
Suwanee,municipality,1580
Acworth,municipality,2627
Winder,municipality,816
Winder,municipality,1519
Winder,municipality,1572
Fayetteville,municipality,709
Fayetteville,municipality,731
Fayetteville,municipality,880
Fayetteville,municipality,1091
Fayetteville,municipality,1153
Fayetteville,municipality,1165
Fayetteville,municipality,1273
Fayetteville,municipality,1367
Fayetteville,municipality,1667
Fayetteville,municipality,2167
Fayetteville,municipality,2586
Holly Springs,municipality,1188
Conyers,municipality,621
Conyers,municipality,643
Conyers,municipality,1552
Richmond Hill,municipality,1809
Powder Springs,municipality,1719
Calhoun,municipality,636
Calhoun,municipality,904
Calhoun,municipality,2759
Forest Park,municipality,239
Forest Park,municipality,241
Forest Park,municipality,726
Forest Park,municipality,852
Forest Park,municipality,863
Forest Park,municipality,1487
Forest Park,municipality,1711
Forest Park,municipality,1977
Forest Park,municipality,2438
Norcross,municipality,123
Norcross,municipality,954
Norcross,municipality,1331
Norcross,municipality,1333
Norcross,municipality,2623
Buford,municipality,826
Fairburn,municipality,2149
Milledgeville,municipality,1812
Jefferson,municipality,1
Jefferson,municipality,22
Jefferson,municipality,119
Jefferson,municipality,225
Jefferson,municipality,240
Jefferson,municipality,245
Jefferson,municipality,280
Jefferson,municipality,290
Jefferson,municipality,341
Jefferson,municipality,348
Jefferson,municipality,349
Jefferson,municipality,351
Jefferson,municipality,352
Jefferson,municipality,353
Jefferson,municipality,358
Jefferson,municipality,381
Jefferson,municipality,393
Jefferson,municipality,409
Jefferson,municipality,413
Jefferson,municipality,451
Jefferson,municipality,456
Jefferson,municipality,474
Jefferson,municipality,497
Jefferson,municipality,500
Jefferson,municipality,503
Jefferson,municipality,504
Jefferson,municipality,505
Jefferson,municipality,506
